Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
,triangle,,,,39.7763889,-74.8627778,,,
,chevron,,,,33.9533333,-117.3952778,,,
,light,,,,36.6336111,-81.7838889,,,
,other,,,,37.5422222,-122.515,,,
,cigar,,,,18.4463889,-66.3880556,,,
,light,,,,36.5452778,-82.6611111,,,
,sphere,,,,39.7944444,-87.3958333,,,
,sphere,,,,44.3875,-68.2044444,,,
,fireball,,,,38.4088889,-121.3705556,,,
,light,,,,32.3666667,-86.3,,,
,light,,,,34.0522222,-118.2427778,,,
,oval,,,,41.9438889,-85.6325,,,
,light,,,,45.2630556,-122.6913889,,,
,disk,,,,45.333333,-80.033333,,,
,oval,,,,42.0386111,-78.3411111,,,
,oval,,,,42.0386111,-78.3411111,,,
,oval,,,,42.0386111,-78.3411111,,,
,oval,,,,42.0386111,-78.3411111,,,
,other,,,,36.6230556,-93.1638889,,,
,cigar,,,,40.9730556,-117.7347222,,,
,triangle,,,,42.1947222,-122.7083333,,,
,light,,,,37.6866667,-96.9763889,,,
,light,,,,30.3880556,-95.6961111,,,
,light,,,,36.4011111,-93.7377778,,,
,disk,,,,41.9316667,-87.9888889,,,
,light,,,,43.9747222,-75.9111111,,,
,light,,,,38.7138889,-121.4616667,,,
,light,,,,33.9791667,-118.0319444,,,
,light,,,,45.1244444,-92.6733333,,,
,other,,,,64.8377778,-147.7163889,,,
,light,,,,39.7391667,-104.9841667,,,
,teardrop,,,,31.2516667,-89.8375,,,
,triangle,,,,39.2191667,-121.06,,,
,teardrop,,,,40.7425,-84.1052778,,,
,fireball,,,,37.2152778,-93.2980556,,,
,sphere,,,,39.5297222,-119.8127778,,,
,cylinder,,,,42.1625,-71.0416667,,,
,fireball,,,,32.7833333,-96.8,,,
,circle,,,,43.6666667,-92.9744444,,,
,egg,,,,40.7141667,-74.0063889,,,
,sphere,,,,39.3280556,-120.1822222,,,
,circle,,,,43.4197222,-85.8,,,
,light,,,,38.7297222,-120.7975,,,
,unknown,,,,40.0991667,-104.9366667,,,
,disk,,,,39.1652778,-86.5263889,,,
,chevron,,,,39.0911111,-94.4152778,,,
,triangle,,,,21.3069444,-157.8583333,,,
,rectangle,,,,34.0522222,-118.2427778,,,
,light,,,,44.9194444,-123.3158333,,,
,other,,,,39.7327778,-75.1319444,,,
,light,,,,37.3394444,-121.8938889,,,
,formation,,,,36.6777778,-121.6544444,,,
,circle,,,,35.1186111,-120.5897222,,,
,rectangle,,,,36.7477778,-119.7713889,,,
,fireball,,,,27.5061111,-99.5072222,,,
,formation,,,,26.6155556,-80.0572222,,,
,light,,,,42.9638889,-78.7380556,,,
,light,,,,28.1875,-82.7397222,,,
,circle,,,,44.8041667,-93.1666667,,,
,light,,,,40.6808333,-112.2622222,,,
,light,,,,33.5805556,-112.2366667,,,
,formation,,,,33.3702778,-112.5830556,,,
,light,,,,32.8794444,-111.7566667,,,
,triangle,,,,33.4147222,-111.9086111,,,
,light,,,,30.6941667,-88.0430556,,,
,oval,,,,40.8527778,-74.0425,,,
,light,,,,42.2711111,-95.0927778,,,
,disk,,,,36.1658333,-86.7844444,,,
,unknown,,,,47.8211111,-122.3138889,,,
,fireball,,,,34.0625,-118.1219444,,,
,light,,,,47.0227778,-91.6705556,,,
,diamond,,,,30.4211111,-87.2169444,,,
,light,,,,30.6322222,-87.0397222,,,
,circle,,,,34.2241667,-118.2391667,,,
,light,,,,36.3955556,-97.8780556,,,
,triangle,,,,35.5361111,-100.9594444,,,
,oval,,,,43.2127778,-75.4561111,,,
,oval,,,,39.0297222,-84.3663889,,,
,cylinder,,,,45.2944444,-123.1752778,,,
,circle,,,,45.4077778,-122.5691667,,,
,triangle,,,,47.6063889,-122.3308333,,,
,light,,,,35.0241667,-81.0280556,,,
,disk,,,,30.2458333,-87.7008333,,,
,disk,,,,25.9013889,-97.4972222,,,
,light,,,,37.9780556,-122.03,,,
,sphere,,,,35.6708333,-80.4744444,,,
,circle,,,,41.1669444,-73.2052778,,,
,sphere,,,,39.5122222,-76.7697222,,,
,light,,,,33.9533333,-117.3952778,,,
,triangle,,,,26.1416667,-81.795,,,
,light,,,,31.2577778,-95.9780556,,,
,fireball,,,,35.0844444,-106.6505556,,,
,triangle,,,,34.0522222,-118.2427778,,,
,other,,,,40.7616667,-73.3297222,,,
,light,,,,37.9833333,-75.8541667,,,
,flash,,,,47.55,-52.666667,,,
,triangle,,,,42.3713889,-83.4702778,,,
,egg,,,,33.5386111,-112.1852778,,,
,disk,,,,38.2541667,-85.7594444,,,
,oval,,,,26.7052778,-80.0366667,,,
,circle,,,,41.9666667,-71.55,,,
,flash,,,,39.5741667,-86.8652778,,,
,light,,,,43.0730556,-89.4011111,,,
,other,,,,33.8491667,-118.3875,,,
,oval,,,,42.6525,-73.7566667,,,
,sphere,,,,26.7052778,-80.0366667,,,
,changing,,,,38.6786111,-121.2247222,,,
,light,,,,44.8277778,-92.9436111,,,
,circle,,,,34.1361111,-117.8644444,,,
,triangle,,,,33.0416667,-116.8672222,,,
,other,,,,37.5958333,-122.0180556,,,
,chevron,,,,37.8902778,-88.3030556,,,
,other,,,,36.0397222,-114.9811111,,,
,light,,,,37.6775,-113.0611111,,,
,light,,,,41.6005556,-93.6088889,,,
,circle,,,,41.6361111,-70.9347222,,,
,circle,,,,33.9133333,-78.3041667,,,
,unknown,,,,37.7622222,-84.8433333,,,
,unknown,,,,42.2625,-71.8027778,,,
,sphere,,,,40.6377778,-74.4513889,,,
,light,,,,42.6105556,-71.2347222,,,
,cigar,,,,41.6347222,-84.9994444,,,
,light,,,,39.2544444,-76.7002778,,,
,fireball,,,,41.2788889,-75.8786111,,,
,circle,,,,43.0830556,-73.785,,,
,diamond,,,,41.2052778,-76.0052778,,,
,fireball,,,,32.3122222,-106.7777778,,,
,triangle,,,,47.3525,-121.9825,,,
,diamond,,,,40.155,-74.8291667,,,
,sphere,,,,33.4483333,-112.0733333,,,
,circle,,,,41.6572222,-87.68,,,
,chevron,,,,43.4194444,-83.9508333,,,
,cylinder,,,,43.25,-79.833333,,,
,circle,,,,41.7297222,-93.6055556,,,
,light,,,,26.8230556,-80.1388889,,,
,circle,,,,43.866667,-79.033333,,,
,fireball,,,,42.2916667,-85.5872222,,,
,unknown,,,,38.9716667,-95.235,,,
,light,,,,44.4905556,-73.1113889,,,
,circle,,,,39.1619444,-84.4569444,,,
,fireball,,,,39.1619444,-84.4569444,,,
,light,,,,26.1416667,-81.795,,,
,fireball,,,,39.1619444,-84.4569444,,,
,fireball,,,,38.9458333,-84.6805556,,,
,fireball,,,,42.4736111,-72.0066667,,,
,light,,,,33.5966667,-83.8602778,,,
,sphere,,,,39.7463889,-84.2866667,,,
,chevron,,,,43.0297222,-76.0047222,,,
,light,,,,26.9338889,-80.0944444,,,
,sphere,,,,28.0833333,-80.6083333,,,
,sphere,,,,45.3561111,-92.6333333,,,
,formation,,,,41.88,-88.0077778,,,
,light,,,,45.583333,-72,,,
,fireball,,,,40.8758333,-81.4025,,,
,fireball,,,,42.4566667,-83.9463889,,,
,disk,,,,37.4791667,-82.5188889,,,
,disk,,,,39.0997222,-94.5783333,,,
,circle,,,,38.7230556,-80.65,,,
,rectangle,,,,43.3652778,-72.1738889,,,
,unknown,,,,61.9919444,-146.7686111,,,
,disk,,,,40.9166667,-74.1722222,,,
,unknown,,,,39.7338889,-90.2288889,,,
,sphere,,,,41.6638889,-83.5552778,,,
,disk,,,,36.1538889,-95.9925,,,
,disk,,,,36.1658333,-86.7844444,,,
,triangle,,,,36.0688889,-79.4008333,,,
,other,,,,30.3958333,-88.8852778,,,
,sphere,,,,37.2438889,-77.4105556,,,
,disk,,,,41.5241667,-76.4011111,,,
,diamond,,,,53.55,-113.5,,,
,light,,,,42.8863889,-78.8786111,,,
,light,,,,48.5127778,-122.6113889,,,
,unknown,,,,42.1083333,-91.285,,,
,disk,,,,44.5647222,-123.2608333,,,
,sphere,,,,42.5680556,-78.4791667,,,
,circle,,,,38.8922222,-89.4130556,,,
,disk,,,,44.98,-93.2636111,,,
,cigar,,,,42.3583333,-71.0602778,,,
,circle,,,,43.3616667,-70.4772222,,,
,oval,,,,37.775,-122.4183333,,,
,sphere,,,,44.233333,-76.483333,,,
,disk,,,,40.7141667,-74.0063889,,,
,other,,,,36.3727778,-94.2086111,,,
,other,,,,27.9472222,-82.4586111,,,
,disk,,,,40.7141667,-74.0063889,,,
,disk,,,,34.1477778,-118.1436111,,,
,unknown,,,,37.9388889,-97.0194444,,,
,unknown,,,,33.2147222,-97.1327778,,,
,disk,,,,31.6261111,-97.5997222,,,
,rectangle,,,,47.8555556,-121.9697222,,,
,sphere,,,,39.7927778,-87.3708333,,,
,disk,,,,36.8527778,-75.9783333,,,
,light,,,,39.1652778,-86.5263889,,,
,cylinder,,,,43.2166667,-123.3405556,,,
,disk,,,,36.9086111,-116.7583333,,,
,oval,,,,35.1405556,-85.2327778,,,
,disk,,,,41.2377778,-81.9316667,,,
,unknown,,,,33.2147222,-97.1327778,,,
,sphere,,,,40.4188889,-80.5897222,,,
,unknown,,,,46.4736111,-93.8986111,,,
,light,,,,40.7841667,-74.6972222,,,
,changing,,,,33.0580556,-112.0469444,,,
,disk,,,,40.9636111,-81.3313889,,,
,disk,,,,43.0986111,-77.4422222,,,
,disk,,,,28.0611111,-82.3025,,,
,other,,,,33.7091667,-117.9527778,,,
,other,,,,40.5763889,-124.2627778,,,
,cone,,,,35.9983333,-76.9463889,,,
,disk,,,,31.0944444,-92.4002778,,,
,cylinder,,,,40.9852778,-86.8794444,,,
,disk,,,,33.7922222,-118.3141667,,,
,rectangle,,,,39.2402778,-76.8397222,,,
,light,,,,42.8863889,-78.8786111,,,
,disk,,,,47.0380556,-122.8994444,,,
,disk,,,,40.4405556,-79.9961111,,,
,light,,,,40.3161111,-74.5141667,,,
,other,,,,37.5483333,-121.9875,,,
